module,source_table_id,source_table_name,source_field_id,source_field_name,source_field_type,target_schema,target_table,target_column,transform_hint,linked_table_id
flooring,tbl7D4VpTqdeXowww,Management Company,fldbCND0Vz1DQOqjQ,Management Company,singleLineText,flooring,management_company,management_company,direct_or_type_cast,
flooring,tbl7D4VpTqdeXowww,Management Company,fldJYyV2t7d3TjQ3N,Address,formula,flooring,management_company,address,derive_in_view_or_service,
flooring,tbl7D4VpTqdeXowww,Management Company,fldJMqhYcvuNOZd4b,Street Address,singleLineText,flooring,management_company,street_address,direct_or_type_cast,
flooring,tbl7D4VpTqdeXowww,Management Company,fldEQosgSn5A4XYhX,City,singleLineText,flooring,management_company,city,direct_or_type_cast,
flooring,tbl7D4VpTqdeXowww,Management Company,fldr15xKY4haFvWvF,State,singleLineText,flooring,management_company,state,direct_or_type_cast,
flooring,tbl7D4VpTqdeXowww,Management Company,fld4qyDZeyrv1TdZo,Zip,singleLineText,flooring,management_company,zip,direct_or_type_cast,
flooring,tbl7D4VpTqdeXowww,Management Company,fldy9ryZJcCXmKs1B,Phone,phoneNumber,flooring,management_company,phone,direct_or_type_cast,
flooring,tbl7D4VpTqdeXowww,Management Company,fldV883IzZJtuo9vB,Email,email,flooring,management_company,email,direct_or_type_cast,
flooring,tbl7D4VpTqdeXowww,Management Company,fldDxky6hzkZtcXld,Properties,multipleRecordLinks,flooring,management_company,properties,foreign_key_or_junction_table,tblVxogFcQFfXX4K4
flooring,tblVxogFcQFfXX4K4,Properties,fldOTyGu7g2c32X1l,Property Name,singleLineText,core,property,property_name,direct_or_type_cast,
flooring,tblVxogFcQFfXX4K4,Properties,fldaczoAHE6W3l7dL,Address,formula,core,property,address,derive_in_view_or_service,
flooring,tblVxogFcQFfXX4K4,Properties,fldKP9VH2FU95R4tk,Street Address,singleLineText,core,property,street_address,direct_or_type_cast,
flooring,tblVxogFcQFfXX4K4,Properties,fldxSH2dS61xOvC6R,City,singleLineText,core,property,city,direct_or_type_cast,
flooring,tblVxogFcQFfXX4K4,Properties,fld6EjhcnDfUsIXyd,State,singleLineText,core,property,state,direct_or_type_cast,
flooring,tblVxogFcQFfXX4K4,Properties,fldU5UO3dChrTM0y4,Zip,singleLineText,core,property,zip,direct_or_type_cast,
flooring,tblVxogFcQFfXX4K4,Properties,fldLX2z4PakIqGfCz,Phone,phoneNumber,core,property,phone,direct_or_type_cast,
flooring,tblVxogFcQFfXX4K4,Properties,fldsLIfIj2JNJ0sYx,Email,email,core,property,email,direct_or_type_cast,
flooring,tblVxogFcQFfXX4K4,Properties,fldj9cbHhInjK36UH,Management Company,multipleRecordLinks,core,property,management_company,foreign_key_or_junction_table,tbl7D4VpTqdeXowww
flooring,tblVxogFcQFfXX4K4,Properties,fld0r8tpEevsLGPOk,Templates,multipleRecordLinks,core,property,templates,foreign_key_or_junction_table,tblXFEvDa0zDXxsXA
flooring,tblVxogFcQFfXX4K4,Properties,flduRCtaSLQn1EFcs,Work Orders,multipleRecordLinks,core,property,work_orders,foreign_key_or_junction_table,tblX45JvoWzD7UVqi
flooring,tblVxogFcQFfXX4K4,Properties,flde4C2fQzaJiqZBK,Management Company Formula,formula,core,property,management_company_formula,derive_in_view_or_service,
flooring,tblXFEvDa0zDXxsXA,Templates,fldY79HUcoq5DkHHH,Template Tag,singleLineText,flooring,template,template_tag,direct_or_type_cast,
flooring,tblXFEvDa0zDXxsXA,Templates,fldmuYHP5QYdo90QY,Template Label,formula,flooring,template,template_label,derive_in_view_or_service,
flooring,tblXFEvDa0zDXxsXA,Templates,fldxxwLzSsYLwWPZc,Store,singleSelect,flooring,template,store,direct_or_type_cast,
flooring,tblXFEvDa0zDXxsXA,Templates,fldSlHZFu3kmiXllx,Instructions,singleLineText,flooring,template,instructions,direct_or_type_cast,
flooring,tblXFEvDa0zDXxsXA,Templates,fldYFoc0z45sjaBCI,Pad Type,multipleRecordLinks,flooring,template,pad_type,foreign_key_or_junction_table,tblAnYCVTjv9FgJi5
flooring,tblXFEvDa0zDXxsXA,Templates,fldhBkzwijlWK0RaG,Items,multipleRecordLinks,flooring,template,items,foreign_key_or_junction_table,tblP6kPtjv2G8yDp4
flooring,tblXFEvDa0zDXxsXA,Templates,fldsyT6xr9VgvbJXA,Property,multipleRecordLinks,flooring,template,property,foreign_key_or_junction_table,tblVxogFcQFfXX4K4
flooring,tblXFEvDa0zDXxsXA,Templates,fldoxMaB0wMJfe5Pm,Template Notes,multilineText,flooring,template,template_notes,direct_or_type_cast,
flooring,tblXFEvDa0zDXxsXA,Templates,fldtk9zCUkt5Xwy2y,Template,formula,flooring,template,template,derive_in_view_or_service,
flooring,tblXFEvDa0zDXxsXA,Templates,fld5OGurHl2st6jqd,Template Record ID,formula,flooring,template,template_record_id,derive_in_view_or_service,
flooring,tblXFEvDa0zDXxsXA,Templates,fldMO3ADZGwW9QgpO,Management Company,multipleLookupValues,flooring,template,management_company,join_lookup_not_persisted,
flooring,tblXFEvDa0zDXxsXA,Templates,fldxdj5h5XjxHeEu6,Work Orders,multipleRecordLinks,flooring,template,work_orders,foreign_key_or_junction_table,tblX45JvoWzD7UVqi
flooring,tblXFEvDa0zDXxsXA,Templates,fld7SHtlSUkXcHyvW,Item Info,rollup,flooring,template,item_info,aggregate_view_or_materialized_view,
flooring,tblP6kPtjv2G8yDp4,Template Items,fldw9ZAgRXkYzNDV5,Template Items,formula,flooring,template_item,template_items,derive_in_view_or_service,
flooring,tblP6kPtjv2G8yDp4,Template Items,fldYjLIemcGrWOPg7,Template Record ID,multipleLookupValues,flooring,template_item,template_record_id,join_lookup_not_persisted,
flooring,tblP6kPtjv2G8yDp4,Template Items,fldHu6bh6eDWIk2ZT,Items,multipleRecordLinks,flooring,template_item,items,foreign_key_or_junction_table,tblAnYCVTjv9FgJi5
flooring,tblP6kPtjv2G8yDp4,Template Items,fldH7B3OKckjBDgda,Quantity,number,flooring,template_item,quantity,direct_or_type_cast,
flooring,tblP6kPtjv2G8yDp4,Template Items,fldHyycl42NUg6UvW,Send Unit,rollup,flooring,template_item,send_unit,aggregate_view_or_materialized_view,
flooring,tblP6kPtjv2G8yDp4,Template Items,fldidekNP7eYh8wdV,Notes,singleLineText,flooring,template_item,notes,direct_or_type_cast,
flooring,tblP6kPtjv2G8yDp4,Template Items,fldAmia0tqMlxtrMi,Stored Dye Lots,multipleSelects,flooring,template_item,stored_dye_lots,direct_or_type_cast,
flooring,tblP6kPtjv2G8yDp4,Template Items,fld4tq9vLkwvtS2ej,Template,multipleRecordLinks,flooring,template_item,template,foreign_key_or_junction_table,tblXFEvDa0zDXxsXA
flooring,tblP6kPtjv2G8yDp4,Template Items,fld8tv3OEGYLspLZg,Item Info,formula,flooring,template_item,item_info,derive_in_view_or_service,
flooring,tblP6kPtjv2G8yDp4,Template Items,fldTJPA1GBz3u4Y1T,Template Item Record ID,formula,flooring,template_item,template_item_record_id,derive_in_view_or_service,
flooring,tblP6kPtjv2G8yDp4,Template Items,fldvTfTgDxd1XtoKm,Category,multipleLookupValues,flooring,template_item,category,join_lookup_not_persisted,
flooring,tblP6kPtjv2G8yDp4,Template Items,fld6Fb6rBpWTp7FeS,Template Formula,formula,flooring,template_item,template_formula,derive_in_view_or_service,
flooring,tblP6kPtjv2G8yDp4,Template Items,fldpHxaCgpFB2zjjQ,Template Notes,multipleLookupValues,flooring,template_item,template_notes,join_lookup_not_persisted,
flooring,tblP6kPtjv2G8yDp4,Template Items,fldFNzsCPzqJQTHio,Instructions,multipleLookupValues,flooring,template_item,instructions,join_lookup_not_persisted,
flooring,tblP6kPtjv2G8yDp4,Template Items,fldHa8TSgdOqrsbL5,Pad Type,multipleLookupValues,flooring,template_item,pad_type,join_lookup_not_persisted,
flooring,tblX45JvoWzD7UVqi,Work Orders,fldkm8mQ6TnlzEURi,Work Order,formula,flooring,work_order,work_order,derive_in_view_or_service,
flooring,tblX45JvoWzD7UVqi,Work Orders,fldxiTvdoJdBfYc1M,Store,multipleRecordLinks,flooring,work_order,store,foreign_key_or_junction_table,tblbIfpiuk2diTv3n
flooring,tblX45JvoWzD7UVqi,Work Orders,fldAv6MnWWZQqjlD6,Export Location,formula,flooring,work_order,export_location,derive_in_view_or_service,
flooring,tblX45JvoWzD7UVqi,Work Orders,fldHFspvJAjqAAQ4z,Warehouse,formula,flooring,work_order,warehouse,derive_in_view_or_service,
flooring,tblX45JvoWzD7UVqi,Work Orders,fldNQiDfdbdgx8yGU,Status,singleSelect,flooring,work_order,status,direct_or_type_cast,
flooring,tblX45JvoWzD7UVqi,Work Orders,fld59O0tS0Cp99n2V,Change Order Status,formula,flooring,work_order,change_order_status,derive_in_view_or_service,
flooring,tblX45JvoWzD7UVqi,Work Orders,fldCMlRdeUxKTIEqh,Property,multipleRecordLinks,flooring,work_order,property,foreign_key_or_junction_table,tblVxogFcQFfXX4K4
flooring,tblX45JvoWzD7UVqi,Work Orders,fldliWEqp1ldIdFnR,Custom Address,multilineText,flooring,work_order,custom_address,direct_or_type_cast,
flooring,tblX45JvoWzD7UVqi,Work Orders,fldbmlP0BL0t0Ii3B,Address,formula,flooring,work_order,address,derive_in_view_or_service,
flooring,tblX45JvoWzD7UVqi,Work Orders,fld4jaHqqOaox8doW,Unit,singleLineText,flooring,work_order,unit,direct_or_type_cast,
flooring,tblX45JvoWzD7UVqi,Work Orders,flda8gN3BxiqStpLI,Instructions,singleLineText,flooring,work_order,instructions,direct_or_type_cast,
flooring,tblX45JvoWzD7UVqi,Work Orders,fldrAxihw9V9R8C1n,Date,date,flooring,work_order,date,direct_or_type_cast,
flooring,tblX45JvoWzD7UVqi,Work Orders,fldxmLlthXgMVS3cj,Unit Type,multipleRecordLinks,flooring,work_order,unit_type,foreign_key_or_junction_table,tblXFEvDa0zDXxsXA
flooring,tblX45JvoWzD7UVqi,Work Orders,fldaatWZzv7qWNtA9,Work Order Items,multipleRecordLinks,flooring,work_order,work_order_items,foreign_key_or_junction_table,tblnryUMDVdMOlS4j
flooring,tblX45JvoWzD7UVqi,Work Orders,fldQkDFDcIi0RIn3p,Vacancy,singleSelect,flooring,work_order,vacancy,direct_or_type_cast,
flooring,tblX45JvoWzD7UVqi,Work Orders,fld1RXumpRyU2MNiT,Template Notes,multilineText,flooring,work_order,template_notes,direct_or_type_cast,
flooring,tblX45JvoWzD7UVqi,Work Orders,fldwiGl8gB7WCxCKg,Order Label,formula,flooring,work_order,order_label,derive_in_view_or_service,
flooring,tblX45JvoWzD7UVqi,Work Orders,fldBTPR4JmZ3MfYX0,Inventory Logs,multipleRecordLinks,flooring,work_order,inventory_logs,foreign_key_or_junction_table,tbllcrLsXg5KvdQwK
flooring,tblX45JvoWzD7UVqi,Work Orders,fldacIWOhZx5oihI4,Inventory Log,multilineText,flooring,work_order,inventory_log,direct_or_type_cast,
flooring,tblX45JvoWzD7UVqi,Work Orders,fldEHnUk7p2oIAgSS,Last Modified,lastModifiedTime,flooring,work_order,last_modified,direct_or_type_cast,
flooring,tblX45JvoWzD7UVqi,Work Orders,fld4CeS6bRQMBXYes,Google Drive Order Slip,url,flooring,work_order,google_drive_order_slip,direct_or_type_cast,
flooring,tblX45JvoWzD7UVqi,Work Orders,fldtGsiT39112t15Z,Google Doc URL,url,flooring,work_order,google_doc_url,direct_or_type_cast,
flooring,tblX45JvoWzD7UVqi,Work Orders,fldgXTNGQers9Ezzy,Auto Number,autoNumber,flooring,work_order,auto_number,direct_or_type_cast,
flooring,tblX45JvoWzD7UVqi,Work Orders,flddHTHQI8SV1J8cQ,Property Formula,formula,flooring,work_order,property_formula,derive_in_view_or_service,
flooring,tblX45JvoWzD7UVqi,Work Orders,fldlvUh7ReAL3PzBb,Management Company,multipleLookupValues,flooring,work_order,management_company,join_lookup_not_persisted,
